Date,Year,Artist / Project,City,Venue,Country,Section,Position,Song,Counts as Song,Setlist Status,Source URL
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,1,Jailbreak,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,2,Suffragette City,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,3,Foxy Lady,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,4,A Night Like This,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1976-12-20,1976,Malice,Crawley,St. Wilfrids School Hall,England,Mainset,5,Wild Thing,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1976-12-20.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,1,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,2,I Wish I Was Your Mother,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-06-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,3,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-06-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,1,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,2,I Wish I Was Your Mother,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-07-03,1977,Easy Cure,Crawley,Queens Square,England,Mainset,3,...,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-07-03.php
1977-12-04,1977,Easy Cure,Crawley,The Rocket,England,Mainset,1,Heroin Face,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-04.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Mainset,1,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Mainset,2,10.15 Saturday Night,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1977-12-31,1977,Easy Cure,Orpington,General Hospital,England,Encore 1,1,Tie A Yellow Ribbon,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1977-12-31.php
1978-04-22,1978,Easy Cure,Crawley,Montefiore Institute Hall,England,Mainset,1,Subway Song,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-04-22.php
1978-11-24,1978,The Cure,High Wycombe,Town Hall,England,Mainset,1,Fire In Cairo,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-11-24.php
1978-11-24,1978,The Cure,High Wycombe,Town Hall,England,Mainset,2,Killing An Arab,Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-11-24.php
1978-12-01,1978,The Cure,Birmingham,Aston University,England,Mainset,1,Paranoid (*),Yes,Unconfirmed,https://www.cure-concerts.de/concerts/1978-12-01.php
